acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.195407914,-0.461162677,-0.402540303,2.371351002,-1.06742754,0.538507606,0
-0.195407914,-0.461162677,-0.402540303,2.371351002,-1.06742754,0.538507606,0
0.336101612,0.160234489,-0.308744504,0.716412196,0.204537014,-0.550758521,0
0.117244748,-0.211040547,0.6370298,2.967917292,-1.984648211,0.72546722,0
-0.531509526,-0.410356619,0.789447973,2.015009174,-1.311380541,0.845313127,0
-0.531509526,-0.410356619,0.789447973,2.015009174,-1.311380541,0.845313127,0
-0.808988764,-0.324377137,-0.285295554,2.254700987,1.184610204,0.515071074,0
-0.808988764,-0.324377137,-0.285295554,2.254700987,1.184610204,0.515071074,0
-2.970200293,-1.782120176,-1.586712262,2.060816943,1.389147218,-1.950558709,0
-2.970200293,-1.782120176,-1.586712262,2.060816943,1.389147218,-1.950558709,0
0.554958476,-1.957987298,-0.109428432,1.675179448,2.890683264,-3.679535653,0
0.554958476,-1.957987298,-0.109428432,1.675179448,2.890683264,-3.679535653,0
0.109428432,0.765999023,-0.293111871,-1.758805258,-8.376962537,4.877994717,0
1.055202736,-0.222765022,-0.816805081,-0.366994798,1.356123013,-0.156066003,0
1.055202736,-0.222765022,-0.816805081,-0.366994798,1.356123013,-0.156066003,0
0.039081583,-0.492427943,0.046897899,0.280173097,-1.206448792,-0.260997752,0
0.039081583,-0.492427943,0.046897899,0.280173097,-1.206448792,-0.260997752,0
0.50024426,-0.902784563,-0.625305325,0.138488603,-0.058591332,-0.347819453,0
0.50024426,-0.902784563,-0.625305325,0.138488603,-0.058591332,-0.347819453,0
-0.117244748,-0.214948705,-0.246213972,-0.31053406,-0.516669019,0.313729951,0
-0.117244748,-0.214948705,-0.246213972,-0.31053406,-0.516669019,0.313729951,0
-0.031265266,-0.418172936,-0.519785051,1.523374633,-0.246616243,0.715346899,0
-0.031265266,-0.418172936,-0.519785051,1.523374633,-0.246616243,0.715346899,0
1.293600391,-3.024914509,-1.410845139,1.412051102,0.842649885,-0.715879548,0
1.293600391,-3.024914509,-1.410845139,1.412051102,0.842649885,-0.715879548,0
1.293600391,-3.024914509,-1.410845139,1.412051102,0.842649885,-0.715879548,0
-0.050806058,-0.109428432,-0.11333659,1.412051102,0.842649885,-0.715879548,0
-0.050806058,-0.109428432,-0.11333659,-1.199524362,-0.476187735,0.26525894,0
0.34000977,-0.687835857,-0.72691744,0.877272035,0.536377012,0.582184781,0
0.218856864,-0.777723498,-0.801172447,-0.170447511,0.074570786,0.161392487,0
0.218856864,-0.777723498,-0.801172447,-0.170447511,0.074570786,0.161392487,0
